Country,index,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Gabon,population,539728,551811,565441,580101,595417,611293,627846,645160,663387,682641,702923,724185,746424,769635,793810,818863,844775,871675,899739,929044,959631,991289,1023531,1055707,1087327,1118215,1148416,1177936,1206862,1235274,1263165,1290532,1317484,1344171,1370729,1397192,1423637,1450310,1477514,1505463
Germany,population,78398250,78549958,78635758,78672415,78673559,78648816,78600404,78526576,78422458,78288577,78124452,77944929,77784306,77686865,77684875,77783439,77974722,78260173,78637382,79098094,79651903,80282985,80926118,81495194,81929441,82200333,82326019,82350467,82341545,82349027,82384256,82432026,82484111,82524343,82540739,82536138,82516297,82475271,82405365,82302465
Ghana,population,8911291,9167822,9435673,9692196,9922663,10119038,10290712,10461377,10664342,10922708,11246007,11624726,12039663,12462279,12871965,13261929,13638708,14010951,14392619,14793415,15216133,15655847,16105502,16554855,16996901,17429209,17855250,18281113,18715676,19165490,19632265,20114361,20610897,21119911,21639806,22170556,22712403,23264176,23824402,24391823
Greece,population,8833582,8870711,8912166,8968522,9046544,9149987,9274357,9408034,9534673,9642504,9728220,9795461,9848045,9892518,9934292,9972624,10007304,10045020,10094241,10160501,10247132,10351229,10464295,10574134,10671809,10754641,10824894,10884604,10937612,10986883,11032395,11073334,11111072,11147261,11183114,11219300,11255717,11291807,11326596,11359346
Guatemala,population,5597742,5752386,5910205,6069254,6228224,6386403,6544422,6703955,6867413,7036484,7211938,7393131,7578625,7766291,7954682,8143365,8333124,8525211,8721429,8923131,9131088,9345130,9564571,9788284,10015675,10246429,10481515,10723154,10974314,11237101,11512637,11800351,12098576,12404764,12717154,13034904,13358842,13690846,14033623,14388929
Haiti,population,4794158,4877645,4961817,5049035,5141143,5238431,5340812,5449236,5564724,5687812,5819084,5957920,6102119,6248634,6395193,6540928,6686182,6831374,6977397,7124877,7273530,7422881,7573160,7724690,7877569,8031903,8187204,8342233,8495358,8645371,8791931,8935252,9075399,9212634,9347262,9479136,9608453,9736332,9864241,9993247
Honduras,population,2763122,2841609,2924118,3011047,3102649,3199231,3300735,3406539,3515736,3627640,3741932,3858691,3978080,4100422,4225870,4354245,4485151,4618245,4753109,4889311,5026843,5165380,5303798,5440691,5575099,5706605,5835607,5963008,6090164,6218151,6347272,6477525,6609337,6743128,6879243,7017769,7158819,7302742,7449923,7600524
"Hong Kong, China",population,4005661,4068311,4147503,4243420,4355208,4485716,4633225,4786467,4930176,5053554,5151920,5228670,5291060,5350313,5414630,5486801,5564427,5644480,5721987,5793857,5857068,5914114,5973754,6048024,6144316,6268283,6414109,6563860,6692636,6783317,6828869,6836766,6822233,6807752,6809859,6832989,6872780,6926368,6987976,7053189
Hungary,population,10354275,10393745,10434264,10476458,10520246,10566645,10614041,10656575,10686489,10698534,10690574,10665068,10627145,10584347,10542504,10502732,10464389,10429422,10399695,10376320,10360831,10352695,10348284,10342427,10331403,10313993,10291342,10264982,10237422,10210545,10184663,10159273,10134513,10110393,10086936,10064274,10042572,10021886,10002247,9983645
Iceland,population,206821,209722,212673,215485,218031,220260,222238,224096,226025,228160,230543,233131,235861,238641,241398,244124,246837,249526,252179,254793,257359,259881,262386,264909,267478,270119,272836,275608,278403,281210,283992,286783,289724,293004,296743,301010,305721,310666,315543,320136
