Country,index,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Israel,energy produce,5.938419,6.241608,6.149194,4.270975,6.576834,0.088091,0.077931,0.074432,0.085782,0.15347,0.150115,0.078873,0.068085,0.055947,0.282172,0.341094,0.362321,0.379468,0.390582,0.424096,0.438123,0.458011,0.501962,0.516193,0.547662,0.556932,0.58398,0.600378,0.600536,0.642028,0.67261,0.708307,0.73861,1.742051,2.109301,2.683242,2.898905,3.900245,3.26615,3.730068
Italy,energy produce,19.530427,20.119566,20.383657,21.214882,20.980612,21.740134,20.900732,20.944292,20.558633,19.895245,20.829446,22.573506,21.474885,22.642294,22.769853,24.810982,24.191181,25.472714,25.217385,25.313228,26.077385,27.254223,28.295314,29.503584,29.419199,30.270195,30.402131,30.28783,29.221872,28.1693,26.852805,27.454292,27.84352,28.393268,27.847986,27.427413,26.381148,26.971265,27.009124,28.825356
Jamaica,energy produce,0.277026,0.280203,0.250944,0.266557,0.2536,0.254445,0.233918,0.253036,0.22204,0.223879,0.224285,0.247115,0.235127,0.272476,0.252249,0.255401,0.256069,0.260166,0.309637,0.484619,0.485259,0.484413,0.47264,0.485421,0.48342,0.497596,0.510295,0.466676,0.481272,0.588861,0.500312,0.393268,0.396082,0.412212,0.411607,0.411235,0.412371,0.493707,0.530877,0.530877
Japan,energy produce,35.785954,32.612254,29.507143,30.63682,29.921043,32.986262,31.966025,36.166205,39.386314,43.291411,44.523522,51.787397,55.179861,59.296955,67.047414,68.878703,71.654136,69.71251,70.519395,75.200674,79.224093,80.213423,87.661857,90.490222,98.552427,101.708401,106.197752,109.125829,104.541666,105.823811,104.776592,96.928395,84.075971,95.092656,100.507476,101.420971,90.59624,88.691631,93.791016,95.059794
Jordan,energy produce,0.000931,0.000931,0.000931,0.000931,0.000931,0.00117,0.000693,0.000693,0.000693,0.000693,0.000931,0.000931,0.00117,0.00117,0.00117,0.016683,0.024161,0.020003,0.053974,0.161988,0.158571,0.171001,0.188431,0.272137,0.279464,0.274832,0.28888,0.294602,0.285724,0.285937,0.280757,0.262658,0.286786,0.294107,0.255893,0.290259,0.277103,0.275492,0.293107,0.293107
Kenya,energy produce,4.276116,4.436716,4.600586,4.782733,4.969315,5.148375,5.355028,5.583627,5.813647,6.012325,6.273107,6.518662,6.787898,7.041441,7.327275,7.880931,8.163621,8.442295,8.731954,9.013399,9.293659,9.554778,9.850281,10.121464,10.491607,10.768444,11.001893,11.29576,11.496865,11.727797,12.151696,12.497325,13.160515,13.654972,13.965255,14.328291,14.696289,15.130421,15.572806,15.572806
Kuwait,energy produce,161.274069,173.793175,160.228893,135.843538,111.861863,114.590431,105.68868,115.591053,138.486529,93.59811,63.680689,46.415101,59.761567,66.778373,60.779662,65.075028,69.642065,82.929123,98.945341,50.372995,10.047907,59.805198,106.605881,113.967106,114.970968,115.290426,115.218895,117.503144,107.756438,114.316359,112.004527,100.836339,120.992574,131.571966,146.869819,150.982708,146.910905,153.291298,130.240219,130.240219
Lebanon,energy produce,0.168486,0.168767,0.142335,0.177598,0.177502,0.177741,0.177502,0.17657,0.17853,0.177599,0.177145,0.159945,0.152205,0.15457,0.15457,0.152659,0.157198,0.156576,0.150078,0.142842,0.151035,0.167111,0.17076,0.184886,0.180107,0.189461,0.200516,0.192761,0.155403,0.167232,0.159333,0.191248,0.252403,0.233654,0.229129,0.200447,0.192205,0.165806,0.173465,0.173465
Libya,energy produce,137.512415,114.877131,112.560845,80.151451,78.787838,102.200123,108.15152,104.097741,109.724128,96.549059,64.321899,60.425533,58.134583,58.824403,57.221371,56.896908,55.176602,58.69669,61.11495,73.172737,81.675547,77.981348,74.102394,74.952593,76.118473,75.738781,75.781933,78.25783,69.289619,72.843778,71.938655,65.886312,77.505683,86.250413,94.437922,100.140948,97.68022,100.541571,87.135557,87.135557
Luxembourg,energy produce,0.00473,0.00559,0.004042,0.007138,0.006106,0.003956,0.024256,0.024202,0.026118,0.029418,0.030278,0.02866,0.028402,0.030908,0.03067,0.026104,0.033736,0.036564,0.035154,0.028802,0.030507,0.045589,0.044185,0.045318,0.044559,0.037375,0.0425,0.05308,0.053442,0.057284,0.058206,0.056069,0.058118,0.066658,0.088323,0.091873,0.094623,0.101253,0.106137,0.103975
Malaysia,energy produce,4.770214,6.020036,5.967064,5.633712,6.673515,10.026601,10.995641,14.970301,18.818215,18.203496,16.995682,19.826891,27.133857,33.356691,34.203666,40.210236,41.072716,43.909442,47.13379,48.762568,52.787684,54.201414,56.430341,58.327099,64.548401,70.063866,73.675078,74.620254,72.832158,76.137135,77.145131,80.497853,83.937146,88.455838,91.493159,90.248448,90.138434,93.117877,89.693349,89.693349
Mexico,energy produce,43.360599,45.057972,47.284263,55.231886,63.028593,67.912774,79.151251,95.009097,113.59771,147.033179,171.231596,195.594295,193.19333,195.152318,192.838004,182.088861,190.860922,190.053011,190.505624,194.653026,202.072741,201.695443,203.197069,203.681155,201.556286,212.016919,220.111967,224.143319,220.58197,222.300901,225.847919,225.489002,236.682099,246.942895,253.976893,250.610312,244.14537,233.345881,220.031212,217.685796
Morocco,energy produce,0.619628,0.683117,0.687684,0.733147,0.747045,0.807757,0.898497,0.862946,0.895652,0.877905,0.812079,0.788789,0.836316,0.879024,0.873609,0.891352,0.812376,0.831151,0.758076,0.773239,0.834506,0.815903,0.789141,0.849138,0.830946,0.877025,0.841512,0.764859,0.615101,0.570673,0.583578,0.585673,0.63902,0.680414,0.610282,0.629002,0.638902,0.633231,0.781627,0.781627
Mozambique,energy produce,6.165377,6.125745,6.130205,6.183144,6.277473,6.250263,6.114559,6.040003,6.062524,6.086486,6.123649,6.060068,5.971932,5.947976,5.924162,5.823569,5.778631,5.710372,5.66168,5.608165,5.603233,5.631211,5.700067,5.804237,5.907663,6.006815,6.157935,6.772517,6.961722,7.258093,7.548522,7.763153,7.731006,9.045024,10.055063,10.697606,11.075677,11.528217,11.917996,11.917996
Myanmar,energy produce,7.340738,7.62646,7.813412,7.864599,8.134,8.529193,8.832561,9.002939,9.205629,9.514919,9.642214,9.757362,9.986955,10.437273,11.09925,11.21364,10.931749,10.632272,10.916039,10.653812,10.480944,10.80535,10.399355,10.953834,10.998668,10.910067,11.171593,12.16045,13.670379,15.405114,15.843013,16.461096,18.362929,20.554082,23.120088,22.950681,23.849478,22.992066,22.357497,22.357497
Nepal,energy produce,3.597147,3.676673,3.757129,3.841474,3.925564,4.018134,4.109834,4.20417,4.30139,4.402781,4.500404,4.603176,4.704648,4.807324,4.913806,5.028333,5.137103,5.247175,5.372617,5.500791,5.620067,5.734269,5.858332,5.989358,6.138472,6.272636,6.397897,6.542287,6.707904,7.138437,7.337945,7.617642,7.79398,7.969466,8.152061,8.294722,8.462673,8.642971,8.82141,8.82141
Netherlands,energy produce,37.342134,47.781042,56.761912,66.710163,71.332838,76.315783,76.038312,69.945928,73.543729,71.821459,66.755062,57.455372,61.797066,62.93787,66.334605,62.31691,61.944248,55.267632,59.527174,60.543883,67.376654,67.390765,68.541,66.413488,66.692477,74.54805,66.214789,63.648222,59.517187,57.568387,61.459892,60.652381,58.724329,68.033227,62.228604,61.097383,61.245585,66.606795,63.048138,69.741593
New Zealand,energy produce,3.416893,3.837696,4.048284,4.577279,4.79658,5.438802,6.103557,5.963561,5.278878,5.471184,5.77082,6.683123,7.144232,7.985198,8.950167,9.878103,9.677245,10.416225,11.463147,11.459421,12.123459,12.345607,12.894795,12.613513,12.735336,13.832884,14.512317,13.404777,13.742713,14.118332,14.197372,14.640809,13.384509,13.031739,12.57541,13.066188,14.023619,14.988775,15.214603,16.555144
Nicaragua,energy produce,0.736437,0.75791,0.795779,0.822125,0.852348,0.888302,0.881252,0.890209,0.918262,0.906606,0.921067,0.950915,0.97575,1.218055,1.298589,1.22352,1.233883,1.259209,1.435062,1.494561,1.541159,1.522196,1.508701,1.486275,1.494667,1.546783,1.594652,1.457706,1.482311,1.552517,1.540486,1.658901,1.805103,1.932465,1.954467,2.089337,1.656245,1.691375,1.706578,1.706578
Nigeria,energy produce,111.494887,127.156172,139.929434,150.870712,128.220055,144.012294,146.288169,137.264902,159.206591,148.478746,118.938391,112.898574,111.937065,121.15716,128.446846,127.937113,123.34238,131.835155,147.477415,150.452357,156.709542,161.988952,164.875914,166.163253,169.186044,181.955375,193.860181,188.582821,187.743879,201.717436,211.192071,196.10545,216.419773,229.863129,233.308552,235.005164,231.339609,228.245877,228.72161,228.72161
Norway,energy produce,6.029359,7.654313,8.056407,8.569246,16.122598,21.74576,23.258191,36.91948,45.917427,54.970063,55.390673,55.420755,63.511465,69.627195,72.579719,74.854938,86.479211,94.876455,112.776243,119.068701,130.997777,146.606355,154.763886,169.877642,184.28824,207.066072,212.565209,205.738592,209.416257,226.955099,225.872147,234.782339,234.423629,228.352238,223.749218,215.034425,214.912075,218.98627,213.636612,205.08575
Oman,energy produce,15.203992,14.635857,15.203992,15.062213,17.76213,19.040179,17.619331,16.469986,15.595936,15.08982,17.437457,17.926092,20.743194,22.398498,26.749973,30.271735,31.560469,33.624269,34.681847,38.312865,39.50592,41.742276,44.334858,46.248394,48.65568,50.157153,51.528787,51.765352,54.013415,61.005466,65.337982,63.337595,60.529211,58.872756,60.26188,61.674943,60.496838,63.436696,67.198212,67.198212
Pakistan,energy produce,14.355444,14.822966,15.587538,16.391308,17.081032,17.35473,18.247604,18.966741,19.801641,20.922384,22.071066,23.090592,24.027699,24.42074,26.003562,27.511833,30.223453,31.373659,33.103304,34.177583,36.17164,37.722623,38.959507,39.521957,41.044745,41.981553,42.211248,43.328501,45.114022,46.918849,48.975668,50.058447,55.279584,58.829174,61.476556,61.905596,64.209843,63.26225,64.859416,64.859416
Panama,energy produce,0.342318,0.339142,0.342399,0.366432,0.379977,0.404909,0.441829,0.486922,0.499017,0.527311,0.568444,0.568101,0.539396,0.5939,0.604044,0.605105,0.599625,0.609999,0.612439,0.612278,0.602596,0.623582,0.662552,0.650916,0.604213,0.701304,0.704023,0.643133,0.730255,0.755453,0.678019,0.737681,0.688641,0.752565,0.73537,0.75083,0.695231,0.69792,0.666171,0.666171
Paraguay,energy produce,1.168487,1.186656,1.272914,1.29964,1.249576,1.313202,1.325786,1.416111,1.471755,1.605292,1.630922,1.666651,1.752207,1.756825,2.03378,2.780171,3.666859,3.875825,4.307176,4.577278,4.876024,4.519588,4.821305,5.38125,6.0258,6.389029,7.011128,6.864476,6.741368,6.83793,6.157046,6.293039,6.62285,6.630573,6.732786,7.129865,7.287022,7.532237,7.434946,7.434946
Peru,energy produce,7.354244,7.523599,7.872736,8.29641,8.049283,8.358924,9.231615,12.292162,14.194765,14.470271,14.568612,14.946404,13.582275,14.622391,14.662596,13.937057,12.902875,11.560047,10.786963,10.596234,9.829305,9.596927,10.069648,10.10716,10.020478,9.958992,9.743906,9.786492,9.527447,9.360732,9.413511,9.290513,9.505989,9.608233,10.914386,11.649429,12.475663,12.648464,15.14325,15.14325
Philippines,energy produce,7.52619,7.699521,8.070294,8.353173,8.598812,8.901963,9.09873,9.406288,11.282635,12.216264,12.895466,14.080748,15.375493,16.003789,16.458814,16.421577,15.950763,16.51097,16.95536,17.230955,16.821566,16.847631,16.451393,16.480817,15.82334,15.821727,16.086342,17.251353,18.657741,19.550065,18.370604,20.114983,20.597302,20.889613,21.403992,21.398798,22.145354,22.979194,23.474374,23.474374
Poland,energy produce,99.249228,103.68233,107.40572,110.807298,115.703699,119.593636,122.790918,131.771148,135.279002,126.641279,108.184008,124.513726,126.781223,127.766218,128.83798,131.195618,132.320627,132.261068,122.138393,103.872669,99.836758,97.666808,97.349201,97.428827,99.361316,98.963028,100.014755,87.595519,83.919249,79.584858,80.284672,80.196957,79.855356,78.824222,78.649487,77.633417,72.512122,71.357995,67.523832,67.791289
Portugal,energy produce,1.384493,1.407172,1.401317,1.440184,1.327048,1.161163,1.638944,1.7348,1.809272,1.480912,1.247045,1.450042,1.59532,1.741782,1.942931,1.848044,1.949426,2.215279,2.492333,3.393334,3.394658,2.942508,3.276794,3.486058,3.318226,3.793208,3.747774,3.732357,3.369656,3.846055,4.096489,3.642591,4.336249,3.895286,3.614092,4.364558,4.649018,4.486884,4.885181,5.963793
Qatar,energy produce,22.026986,25.025348,29.534528,26.426195,23.645717,26.186871,23.352928,25.221669,27.517104,26.470612,24.222614,21.002356,19.611611,25.825764,20.808665,21.977404,20.521475,22.134568,25.445752,26.565499,26.769943,29.201391,28.681951,28.303215,28.724902,29.489687,40.149838,45.947868,53.212713,59.238589,63.046408,67.738291,71.919785,87.859975,93.128115,102.016958,112.515058,133.13897,139.945095,139.945095
Romania,energy produce,42.807505,44.395126,46.242872,47.531557,49.962015,52.10372,54.066908,54.025589,51.860881,52.586484,54.704694,55.153081,55.931207,55.676012,54.316163,54.018281,52.558756,53.513648,49.780604,40.83369,35.970484,34.470981,33.38958,31.706095,32.317503,32.818435,31.449523,28.810362,27.842166,28.282453,27.6463,29.112099,29.259619,28.363027,27.78729,27.917039,27.69685,28.934869,28.296434,28.296434
Saudi Arabia,energy produce,244.143479,308.090112,388.542171,434.79315,364.561292,443.946983,475.346059,436.959771,497.390995,533.639549,531.098332,361.339125,283.893315,264.321263,200.730407,285.825484,248.534881,297.525682,299.536661,370.192764,465.730494,479.502138,472.862557,464.333707,467.277764,471.674926,467.429589,481.510053,445.412174,479.294838,470.213815,440.443529,515.243795,552.866269,580.558949,576.019162,554.454244,579.320264,528.377133,528.377133
Senegal,energy produce,0.82503,0.83186,0.838761,0.845734,0.852707,0.859274,0.865841,0.872432,0.879047,0.885661,0.892181,0.898652,0.905243,0.912049,0.919141,0.926401,0.935146,0.9524,0.958709,0.963503,0.969543,0.97493,0.991636,1.005891,1.061322,1.086078,1.096475,1.1245,1.140623,1.192226,1.211461,1.258941,1.258877,1.255832,1.265184,1.231343,1.222131,1.230345,1.256082,1.256082
Singapore,energy produce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014424,0.01514,0.022686,0.024071,0.033719,0.028178,0.026841,0.046088,0.034387,0.02474,0.032334,0.028895,0.028895
Slovak Republic,energy produce,2.689938,2.655343,2.57474,2.589722,2.59366,2.534695,2.504087,2.629261,2.895103,3.466012,3.554644,3.738961,3.82915,4.044155,4.681634,5.154473,5.231583,5.301032,5.423323,5.284129,4.829523,4.482529,4.988137,5.476312,5.043246,4.978402,4.947482,4.992596,5.512844,6.326267,6.684673,6.82105,6.590067,6.451974,6.609267,6.619382,5.975279,6.420062,5.936248,6.135721
South Africa,energy produce,37.773647,37.944776,40.360788,42.778626,45.214968,49.029563,54.060302,58.657945,66.479333,73.169565,80.932535,87.191677,91.141492,103.005829,109.527085,112.640735,112.314605,116.868599,114.588629,114.534663,116.930489,115.040883,122.98381,128.281964,134.777627,134.992664,143.363062,144.991313,145.006829,145.624695,144.949227,143.818403,153.393441,157.59336,157.889205,157.449101,158.801984,161.970739,160.637036,160.637036
Spain,energy produce,10.449932,11.583486,11.348205,13.14429,13.355785,12.615832,14.453221,14.53893,15.655655,15.773606,17.704773,19.647354,21.944894,25.073817,26.471712,28.318169,27.895475,30.256782,34.546011,34.582742,34.335949,33.707027,32.914563,32.249687,31.513668,32.697653,31.696601,32.334743,30.660819,31.675845,33.495656,31.800345,32.98547,32.59031,30.132449,31.306133,30.253976,30.435982,29.720402,33.900892
Sri Lanka,energy produce,2.809996,2.811888,2.847851,2.892822,3.119962,3.162928,3.056083,3.136409,3.193772,3.208908,3.30008,3.419782,3.418705,3.725743,3.775099,3.915211,3.983211,4.101597,4.182867,4.191184,4.199555,4.327626,4.259492,3.997032,4.021826,4.203968,4.346275,4.318656,4.547669,4.747728,4.563186,4.544011,4.655225,4.765125,4.920232,5.154757,5.076418,5.071882,5.086847,5.086847
Sudan,energy produce,5.667592,5.787067,5.91156,6.042787,6.181082,6.357815,6.532104,6.714978,6.904181,7.08892,7.280539,7.475048,7.815057,7.853533,8.032831,8.201499,8.353549,8.49649,8.635037,8.774708,8.902588,9.02869,9.151629,10.293166,10.399752,10.782993,11.01362,11.350817,14.430989,20.174135,22.264009,24.417307,25.399661,27.022081,26.977757,29.137768,34.928429,34.093665,35.197511,35.197511
Sweden,energy produce,7.385943,7.893142,9.251464,9.006748,11.698868,12.413801,13.177713,14.883708,14.683744,16.128402,19.260233,19.097504,20.869145,24.289178,26.86264,29.067728,29.405949,29.846335,28.983249,29.684526,31.427597,29.476171,29.317545,31.257801,31.838987,31.973925,32.447032,33.990187,33.240537,30.520924,33.902377,31.829256,30.924658,34.333292,34.674521,32.829771,33.58371,33.233126,30.345028,32.546947
Switzerland,energy produce,2.904673,3.325473,4.280255,4.429321,5.100812,4.499792,5.378723,5.319123,6.246422,7.029628,7.638704,7.724135,7.796009,8.097381,9.412711,9.546749,9.814949,9.859815,9.359163,10.251845,10.40079,10.565496,10.856845,11.367211,11.211622,10.812606,11.282983,11.421776,12.055811,12.0225,12.564024,12.152035,12.257471,12.067128,10.978213,12.240091,12.662847,12.804389,12.765765,12.706823
Syria,energy produce,5.315198,5.89198,5.569963,6.480943,9.676805,10.21504,9.339898,10.174514,8.97242,9.501446,9.804802,9.346019,9.706691,9.852547,9.701967,9.916643,12.983783,15.225272,19.054837,22.318562,26.581957,27.7379,28.737187,31.112674,33.077725,31.781897,32.568571,33.680875,33.901557,32.67198,33.902799,37.099911,36.032482,28.395424,26.074287,24.825963,23.882006,23.75439,23.579964,23.579964
Tanzania,energy produce,6.872277,6.884223,6.909845,6.952968,7.023399,7.046073,7.083207,7.135953,7.203127,7.29594,7.447851,7.603391,7.772043,7.943569,8.127922,8.300235,8.481449,8.666991,8.864068,9.063538,9.26426,9.449265,9.674226,9.857087,10.061105,10.265249,10.413955,11.229279,12.087991,12.690708,13.355283,13.939431,14.43711,15.053372,15.783941,16.360236,16.949574,17.470272,18.045672,18.045672
Thailand,energy produce,7.892856,7.968072,8.163105,8.775638,10.113758,10.606648,11.018347,10.796343,11.717863,11.182437,12.093594,13.52079,11.198588,13.142514,16.55042,17.509736,19.401344,21.464761,24.332748,26.577941,29.618685,30.859908,30.215659,31.696707,33.194207,37.151174,40.023139,39.674414,41.525626,44.032672,43.208663,45.862904,49.189507,51.150834,54.961123,56.853604,59.966543,64.392895,61.705157,61.705157
Togo,energy produce,0.614163,0.628457,0.642607,0.65163,0.667712,0.683319,0.70564,0.724658,0.731942,0.750664,0.77218,0.796811,0.816682,0.84425,0.873308,0.902203,0.949677,0.978428,1.010437,1.054233,1.114003,1.164651,1.229923,1.281305,1.357037,1.422371,1.480988,1.553428,1.721484,1.764687,1.80405,1.851338,1.89866,1.94201,2.000559,2.038892,2.098558,2.138185,2.191131,2.191131
Trinidad and Tobago,energy produce,8.148669,8.750568,9.974546,10.8704,12.185904,12.213271,13.293523,13.652162,12.956532,13.140667,12.21743,12.176712,11.431435,12.379955,12.816639,12.541667,12.009852,12.430293,12.335841,12.612097,12.229592,12.355227,11.572594,12.270819,12.174414,12.901227,12.858894,13.872977,16.081656,19.992226,20.639382,23.948048,30.98946,33.036561,36.433783,42.774406,43.162324,42.731044,44.00476,44.00476
Tunisia,energy produce,4.652652,4.54141,4.54065,4.898514,5.401498,4.491365,5.127937,5.854711,6.522014,6.672459,6.477125,6.250517,6.672691,6.632692,6.551075,6.372605,6.12298,6.063924,6.107723,5.727757,6.361605,6.603624,5.731654,5.468011,5.329749,5.907969,6.354191,6.780861,6.731768,6.634018,6.635753,6.705511,6.452108,6.80485,6.6814,6.631732,7.901468,7.551951,7.811455,7.811455
Turkey,energy produce,13.809033,15.118729,15.524896,15.886711,16.262297,16.610083,16.944696,17.614362,17.416095,17.137363,18.061534,18.964035,19.28456,20.251573,21.859893,23.512047,25.025336,24.795786,25.636472,25.814762,25.631924,26.352854,26.173292,26.300938,26.482064,27.121643,27.958894,29.070848,27.490377,25.857111,24.415185,24.114862,23.589267,24.110716,23.931007,26.347944,27.273312,28.978647,30.280007,30.286836
United Arab Emirates,energy produce,52.78512,59.794689,76.137032,83.246607,84.431823,97.022669,101.279602,94.611151,95.381931,90.214013,82.498727,71.006323,66.241489,64.30164,63.405713,73.227803,80.110444,83.694796,101.078639,110.198689,127.28714,133.962036,131.286803,133.565217,137.03036,142.062163,147.193332,150.933187,142.746954,156.403453,152.325131,148.97571,163.330245,171.111829,174.351189,185.135186,185.493569,187.011843,168.799836,168.799836
United Kingdom,energy produce,109.807768,101.058684,108.515321,102.705961,114.760384,126.597344,154.712278,167.414466,192.980202,197.847955,207.396523,221.643911,233.354083,205.252358,238.173434,247.416475,242.281347,233.926867,209.048654,207.998221,214.738294,214.964914,223.409351,244.621139,257.531408,268.937407,268.279959,271.900509,281.584369,272.474316,262.344634,258.399936,246.60425,225.677125,205.327166,186.907826,176.552922,166.8126,158.912312,149.654057
United States,energy produce,1436.415981,1464.572609,1456.233285,1428.449103,1407.643292,1418.362058,1445.09095,1466.480033,1525.955699,1553.262018,1547.754049,1529.498974,1468.155141,1588.327804,1569.351321,1557.833175,1590.899263,1618.529526,1616.404627,1652.504583,1642.129999,1647.596322,1597.322824,1657.606613,1659.211272,1678.270582,1675.386472,1688.350143,1670.168373,1667.283779,1688.631389,1655.769447,1634.282155,1645.543984,1631.042483,1654.354194,1668.955498,1701.797193,1686.401725,1740.906878
Uruguay,energy produce,0.519661,0.492571,0.537842,0.524668,0.520759,0.53701,0.580353,0.594583,0.565616,0.766215,0.838412,0.909964,1.11672,1.132278,1.114357,1.234672,1.239409,1.0239,0.89956,1.148671,1.088808,1.260597,1.192906,1.178951,1.013335,0.980143,1.044399,1.233561,0.920105,1.02782,1.210112,1.237432,1.163301,0.85253,1.019837,0.784893,1.225431,1.384773,1.518894,1.518894
Venezuela,energy produce,209.924174,192.028683,203.241992,181.496375,144.66624,142.840831,141.078757,136.758235,149.927548,140.071547,136.435435,125.636193,120.279559,122.923009,115.319041,122.982515,124.976692,130.077738,131.464262,148.776744,164.543106,165.867991,174.879995,182.33989,197.184015,222.456146,234.577511,232.230025,211.224285,221.063223,216.986052,203.402365,178.929343,218.260557,233.348015,233.902831,210.520185,207.980657,203.530996,203.530996
Vietnam,energy produce,14.20445,13.928315,14.787011,15.664506,16.660701,17.211504,17.875635,18.10644,18.168384,18.363658,19.113639,19.559062,19.858675,19.451219,20.090449,20.774692,21.31856,22.317385,23.213069,24.711444,26.808142,28.769339,30.568227,31.797931,34.528735,37.723354,40.548178,43.944011,45.593745,48.10631,50.061846,53.164856,54.383031,65.234081,69.709247,72.543457,73.595695,71.399562,76.642218,76.642218
Zambia,energy produce,2.692091,3.047188,3.118691,3.364457,3.469235,3.613545,3.795691,3.80398,3.89353,4.028553,4.155684,4.350067,4.328274,4.445283,4.584147,4.698718,4.618292,4.794591,4.692295,4.917828,5.103023,5.050364,5.250032,5.257571,5.35156,5.35024,5.490306,5.640609,5.787673,5.925112,6.069022,6.214781,6.355394,6.435825,6.621215,6.791211,6.902984,7.034075,7.241325,7.241325
Zimbabwe,energy produce,5.102932,5.023457,5.282834,5.448551,5.358185,5.736462,5.618137,5.594344,5.737979,5.792988,5.68489,5.83366,5.94908,6.09053,6.436212,6.815353,7.638927,7.776528,7.999766,8.549651,8.978488,9.02609,8.622239,8.462182,8.380582,8.255314,8.057957,8.244143,8.723231,8.618136,8.605319,8.643491,8.596246,8.610842,8.859612,8.678261,8.629863,8.532756,8.530375,8.530375
Albania,energy use,0.1717818,0.1941633,0.1751543,0.1825619,0.1988411,0.2190349,0.2321677,0.259384,0.2262329,0.3071557,0.2696615,0.2691515,0.2844307,0.2957473,0.2717177,0.2913409,0.2842487,0.2915399,0.2893413,0.2672707,0.1870638,0.135821,0.1331065,0.1417311,0.1331135,0.142069,0.1212817,0.1309356,0.1762062,0.1780183,0.1801011,0.2005974,0.2004925,0.2203616,0.2206282,0.2091818,0.2050135,0.2085887,0.208542,0.2077308
Algeria,energy use,0.3467088,0.4023298,0.4825133,0.5189237,0.5523503,0.6303561,0.7055381,0.8686419,1.1003456,1.1208612,1.2185743,1.5872317,1.7152852,1.7000866,1.7748074,2.0047638,1.9797464,2.089984,2.0723526,2.2191936,2.3477941,2.4126807,2.4125614,2.3255036,2.4105376,2.3493468,2.4067033,2.4910633,2.6598783,2.7020827,2.7093432,2.880388,3.0722714,3.0999083,3.2365242,3.4685279,3.6823318,3.7444586,4.0745988,4.0371308
Angola,energy use,0.3850748,0.4145619,0.4130688,0.4219849,0.4120914,0.4072554,0.40151,0.4416958,0.4478234,0.4563057,0.4593167,0.4530724,0.4656722,0.470476,0.4990212,0.5047687,0.5169583,0.5379489,0.5499372,0.5883156,0.6024041,0.6057633,0.6273668,0.6359436,0.6398917,0.663011,0.6820913,0.6855517,0.7247348,0.7499003,0.7883388,0.8304163,0.90029,0.9765785,0.9375148,1.0196619,1.0968137,1.1862094,1.2600201,1.3672066
Argentina,energy use,3.3654963,3.4199156,3.5601624,3.6303336,3.5948219,3.7186387,3.8204614,3.8900253,4.1111993,4.1819769,4.0836332,4.1072833,4.179767,4.3329179,4.1340906,4.3877643,4.6271233,4.7861397,4.6507351,4.6073714,4.7487982,4.9956211,4.9934367,5.34362,5.4036996,5.5599117,5.8532488,6.0078965,6.0415907,6.095389,5.7835495,5.5386173,5.9047312,6.7302736,6.6973091,7.3127425,7.3672983,7.6655452,7.4533608,7.4634536
Australia,energy use,5.161384,5.3171914,5.7055949,5.892878,6.0377192,6.182523,6.6293609,6.6472062,6.7981445,6.9603086,7.0077435,7.3119856,7.0104557,7.2303215,7.282435,7.4012245,7.749659,7.8870865,8.4039167,8.622602,8.5155422,8.6731877,9.1174201,9.1261344,9.2558819,9.8946369,10.1289616,10.393511,10.6191638,10.8109901,10.57507,10.9461303,11.0894213,11.1000726,11.4215674,11.602201,11.9755172,12.4235904,12.5977791,12.4727715
Austria,energy use,1.8815116,1.9821049,2.1475888,2.0748697,2.0120841,2.1690178,2.1172092,2.1877917,2.3697012,2.3154201,2.1926624,2.1436496,2.1501577,2.2334118,2.3085286,2.3175597,2.4047382,2.430762,2.3917695,2.4841985,2.6443777,2.5406733,2.569645,2.5630794,2.6770582,2.8445158,2.8242217,2.8723398,2.8653351,2.855785,3.0176647,3.0448445,3.2215284,3.2694238,3.3761286,3.3784507,3.3389497,3.354613,3.1761634,3.384083
Bahrain,energy use,0.1408834,0.1368393,0.2034862,0.2269482,0.2132516,0.2719571,0.2482628,0.2537426,0.3021458,0.2805253,0.3103349,0.3500962,0.3371004,0.3595281,0.4159247,0.3554037,0.3515834,0.4077183,0.4165559,0.4350016,0.4041524,0.4323798,0.4656188,0.494805,0.4929959,0.4964949,0.5414264,0.5814687,0.5654006,0.5864682,0.606879,0.6433173,0.6751816,0.6969621,0.7500349,0.8270903,0.8754281,0.9244666,0.94692,0.9783858
Bangladesh,energy use,0.5685868,0.5872825,0.6352944,0.6561746,0.6727043,0.7155203,0.7324728,0.7576223,0.7875863,0.8402371,0.8573607,0.9056775,0.9274207,0.9409032,0.9949674,1.0653274,1.0487247,1.152501,1.2098309,1.2735601,1.2556296,1.3253018,1.3989482,1.4611203,1.589688,1.5990833,1.6705043,1.7404365,1.7645158,1.8608189,2.0222594,2.076733,2.171123,2.2536671,2.383573,2.5299283,2.6373378,2.7794069,2.942165,3.1053241
